"method","N","M","P","execution_time","work_performed"
"dijkstra_nospeedup","76","216","4","12.946677190917969","39.49611013671875"
"dijkstra_nospeedup","24","42","4","0.44908676525878904","1.390511056640625"
"dijkstra_nospeedup","67","121","4","9.71012761767578","30.158936923828126"
"dijkstra_nospeedup","168","416","4","164.08076006835938","514.8201522421875"
"dijkstra_nospeedup","58","162","4","5.980161739013672","18.287039243164063"
"dijkstra_nospeedup","124","264","4","53.5112890234375","167.38710784765624"
"dijkstra_nospeedup","145","361","4","107.08642180859376","332.106211078125"
"dijkstra_nospeedup","123","308","4","64.05617480566406","199.8623446484375"
"dijkstra_nospeedup","72","141","4","14.080979333496094","43.51122595800781"
"dijkstra_nospeedup","43","83","4","2.417883219238281","7.45091355078125"
"SPFA","154","329","4","5.9156630940551755","16.197227408447265"
"SPFA","152","380","4","11.180757942626952","31.07277557836914"
"SPFA","50","98","4","0.2284868231201172","0.7113803621215821"
"SPFA","148","316","4","6.834134157714844","22.09414094784546"
"SPFA","106","217","4","2.421864287597656","7.3894405761108395"
"SPFA","164","361","4","10.346922903503417","32.64451600079346"
"SPFA","66","163","4","0.7119812429199218","1.9960913919677734"
"SPFA","42","76","4","0.1724903893585205","0.5338033535766602"
"SPFA","103","194","4","2.977490857543945","8.243078389923095"
"SPFA","51","109","4","0.2724268499603271","0.9152696693115234"
"SPFA","32","58","4","0.07760850883483887","0.2260398436279297"
"SPFA","73","134","4","1.0249386855163574","2.7446969613647463"
"SPFA","130","277","4","4.017812168609619","10.181568305114746"
"SPFA","101","189","4","2.349809282287598","6.903312272460938"
"SPFA","26","47","4","0.04659495774841309","0.13794002990722656"
"SPFA","37","68","4","0.12661046336364745","0.346892507232666"
"SPFA","159","348","4","8.541062833435058","28.35046243640137"
"SPFA","105","310","4","3.145279350708008","10.43368820147705"
"SPFA","28","50","4","0.06097768739318848","0.17788032662963868"
"SPFA","110","279","4","3.5183165618896486","10.664087430786132"
"SPFA","89","184","4","1.3805188936767578","4.527951608947754"
"SPFA","155","338","4","8.008445837280274","25.820882789581297"
"SPFA","118","222","4","3.6483479686279296","10.35929381866455"
"SPFA","103","194","4","2.967471901184082","8.2117534737854"
"SPFA","40","73","4","0.1466692527770996","0.4103360806274414"
"SPFA","101","297","4","2.692921759399414","8.941191231872558"
"SPFA","114","338","4","3.8606319431152345","12.941935735107421"
"SPFA","138","298","4","5.257836536987305","16.906088722717286"
"SPFA","52","103","4","0.2538651549987793","0.7790491506652832"
"SPFA","70","141","4","0.7769259392700195","2.419105431488037"
"SPFA","51","109","4","0.27588713424682615","0.914111633605957"
"SPFA","94","243","4","2.0397423688964844","6.139361130157471"
"SPFA","105","197","4","3.271800540222168","8.805987484207153"
"SPFA","137","293","4","4.94330827734375","16.48847926095581"
"SPFA","165","363","4","10.108012974243165","32.04896305331421"
"SPFA","65","161","4","0.6780702190246582","1.9154786208801269"
"SPFA","141","300","4","5.574242845397949","18.320531825073243"
"SPFA","192","480","4","23.211241926513672","59.8772567925415"
"SPFA","47","118","4","0.29712744323730467","0.8498316560058594"
"SPFA","35","74","4","0.14278048069763183","0.40406392059326174"
"SPFA","76","216","4","1.2338761900024413","3.971209077392578"
"SPFA","24","42","4","0.03961184173583984","0.11329992169189453"
"SPFA","67","121","4","0.621741685546875","1.817086211517334"
"SPFA","168","416","4","14.571014686767578","37.87328205175781"
"SPFA","58","162","4","0.5455638220520019","1.7982441328430177"
"SPFA","124","264","4","3.6796488782958985","12.238101245605469"
"SPFA","145","361","4","8.85245652368164","26.053668610839843"
"SPFA","123","308","4","4.6232626256103515","13.84647179309082"
"SPFA","72","141","4","0.7505814806823731","2.398660330657959"
"SPFA","43","83","4","0.17427859170532226","0.47896482983398436"
"SPFA_nospeedup","154","329","4","15.117424226440429","38.95252295800781"
"SPFA_nospeedup","152","380","4","18.891617606811522","46.799286208740234"
"SPFA_nospeedup","50","98","4","0.38433196884155274","1.0611865095214843"
"SPFA_nospeedup","148","316","4","12.359356134887696","31.621311200439454"
"SPFA_nospeedup","106","217","4","4.004404117004395","10.65124607080078"
"SPFA_nospeedup","164","361","4","17.740555746948242","45.29440067260742"
"SPFA_nospeedup","66","163","4","1.1495543436889648","2.8647262900390627"
"SPFA_nospeedup","42","76","4","0.22884528048706054","0.6000569258422852"
"SPFA_nospeedup","103","194","4","3.6015116398315428","9.987746422851563"
"SPFA_nospeedup","51","109","4","0.4742079150695801","1.3129518842773438"
"SPFA_nospeedup","32","58","4","0.09356193934631347","0.26766880786132813"
"SPFA_nospeedup","73","134","4","1.3648427886657715","3.571116619140625"
"SPFA_nospeedup","130","277","4","8.354877915130615","20.903584827178957"
"SPFA_nospeedup","101","189","4","3.334363128051758","9.325832866088867"
